Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Dinesh_Devadoss,@dineshdina04,2020-06-29T18:19:24.000Z,False,"#macOS #ransomware impersonating as Google Software Update program with zero detection. 

MD5: 
522962021E383C44AFBD0BC788CF6DA3 6D1A07F57DA74F474B050228C6422790 98638D7CD7FE750B6EAB5B46FF102ABD  ",12,143,200,0,"['#macOS', '#ransomware']","['@philofishal', '@patrickwardle', '@thomasareed']",[],https://pbs.twimg.com/profile_images/1661710966936031234/vT7jRQac_normal.jpg,https://twitter.com/dineshdina04/status/1277668001538433025,tweet_id:1277668001538433025
Dinesh_Devadoss,@dineshdina04,2024-04-15T10:07:53.000Z,False,I've just published a new blog post analyzing another macOS  stealer - CloudChat. https://link.medium.com/wzlES5FsOIb #malware #macos #stealer,1,11,22,"3,104","['#malware', '#macos', '#stealer']",[],['\\U0001f34e'],https://pbs.twimg.com/profile_images/1661710966936031234/vT7jRQac_normal.jpg,https://twitter.com/dineshdina04/status/1779813889431028076,tweet_id:1779813889431028076
Dinesh_Devadoss,@dineshdina04,2024-04-15T10:07:53.000Z,False,I've just published a new blog post analyzing another macOS  stealer - CloudChat. https://link.medium.com/wzlES5FsOIb #malware #macos #stealer,1,11,22,"3,104","['#malware', '#macos', '#stealer']",[],['\\U0001f34e'],https://pbs.twimg.com/profile_images/1661710966936031234/vT7jRQac_normal.jpg,https://twitter.com/dineshdina04/status/1779813889431028076,tweet_id:1779813889431028076
Adam,@Hexacorn,2024-03-16T22:19:13.000Z,False,Lolbin Wow Ltd x 2https://hexacorn.com/blog/2024/03/16/lolbin-wow-ltd-x-2/…#LOLBIN,2,23,73,1万,['#LOLBIN'],[],[],https://pbs.twimg.com/profile_images/1328318015730016258/wS-pPtw6_normal.jpg,https://twitter.com/Hexacorn/status/1769126299866452436,tweet_id:1769126299866452436
ESET Research,@ESETresearch,2024-03-07T10:35:47.000Z,True,"#ESETresearch has discovered a new campaign by China-aligned #APT #EvasivePanda, leveraging the Monlam Festival to target Tibetans. The campaign included a targeted watering hole, compromised news website, and an additional supply-chain attack ...  https://welivesecurity.com/en/eset-research/evasive-panda-leverages-monlam-festival-target-tibetans/… 1/7",1,76,168,1.5万,"['#ESETresearch', '#APT', '#EvasivePanda']",[],['\\U0001f1e8\\U0001f1f3'],https://pbs.twimg.com/profile_images/1244546916106612736/svU0TBgH_normal.png,https://twitter.com/ESETresearch/status/1765687785317388594,tweet_id:1765687785317388594
Dinesh_Devadoss,@dineshdina04,2024-03-06T02:35:39.000Z,False,I just published blog on Atomic MacOS Stealer (AMOS) https://medium.com/@dineshdevadoss04/breaking-down-atomic-macos-stealer-amos-8cd5eea56024…#malware #macos,0,15,25,"3,915","['#malware', '#macos']",['https://medium.com/@dineshdevadoss04/breaking-down-atomic-macos-stealer-amos-8cd5eea56024…'],[],https://pbs.twimg.com/profile_images/1661710966936031234/vT7jRQac_normal.jpg,https://twitter.com/dineshdina04/status/1765204568806453465,tweet_id:1765204568806453465
Dinesh_Devadoss,@dineshdina04,2024-03-06T02:35:39.000Z,False,I just published blog on Atomic MacOS Stealer (AMOS) https://medium.com/@dineshdevadoss04/breaking-down-atomic-macos-stealer-amos-8cd5eea56024…#malware #macos,0,15,25,"3,915","['#malware', '#macos']",['https://medium.com/@dineshdevadoss04/breaking-down-atomic-macos-stealer-amos-8cd5eea56024…'],[],https://pbs.twimg.com/profile_images/1661710966936031234/vT7jRQac_normal.jpg,https://twitter.com/dineshdina04/status/1765204568806453465,tweet_id:1765204568806453465
Dinesh_Devadoss,@dineshdina04,2024-03-05T14:51:12.000Z,False,I just published Breaking down Atomic MacOS Stealer (AMOS),0,1,6,380,[],[],[],https://pbs.twimg.com/profile_images/1661710966936031234/vT7jRQac_normal.jpg,https://twitter.com/dineshdina04/status/1765027288825872717,tweet_id:1765027288825872717
Phil Stokes ⫍⫎,@philofishal,2023-11-09T12:06:14.000Z,False,"This version of Atomic Stealer...going at it with some malicious #AppleScript, Safari, Docs, Desktop, etc.
e4ce690ab6940082df4632670991531c45b73904",2,8,29,"6,721",['#AppleScript'],[],[],https://pbs.twimg.com/profile_images/1240268141483057152/6U_2s1Mf_normal.jpg,https://twitter.com/philofishal/status/1722586389475115149,tweet_id:1722586389475115149
Phil Stokes ⫍⫎,@philofishal,2023-10-10T10:36:24.000Z,False,"Only 10 days into October and still lots of new #macOS #apple #AtomicStealer variants all over VT. 
57 and counting... 
Want to play? See the updated #malware IOCs for October here:
https:/s1.ai/amos",0,1,9,631,"['#macOS', '#apple', '#AtomicStealer', '#malware']",[],[],https://pbs.twimg.com/profile_images/1240268141483057152/6U_2s1Mf_normal.jpg,https://twitter.com/philofishal/status/1711692147890569268,tweet_id:1711692147890569268
