Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Amb. Arturo Sarukhan,@Arturo_Sarukhan,2024-04-16T18:02:25.000Z,False,Votantes sin memoria engendran políticos sin vergüenza.,18,383,969,2.1万,[],[],[],https://pbs.twimg.com/profile_images/1551622599892996096/Z8oaXSMI_normal.jpg,https://twitter.com/Arturo_Sarukhan/status/1780295696962212005,tweet_id:1780295696962212005
Xóvenes Xingones,@XovenesXingones,2024-04-07T17:03:22.000Z,True,"Es momento de elegir:

RT  
Fav    #DebateX #XóvenesXingones",149,"5,463","1,472",17万,"['#DebateX', '#XóvenesXingones']","['@XochitlGalvez', '@Claudiashein', '@AlvarezMaynez']","['\\U0001f937\\U0001f3fb\\u200d\\u2642\\ufe0f', '\\U0001f91e\\U0001f3fb', '\\U0001f1f2\\U0001f1fd']",https://pbs.twimg.com/profile_images/1738006023837806592/QMRg54RE_normal.jpg,https://twitter.com/XovenesXingones/status/1777019349364093059,tweet_id:1777019349364093059
Year Progress,@year_progress,2024-04-01T06:00:04.000Z,True,2024 is 25% complete. [274 days remaining],54,"2,595","8,590",59万,[],[],[],https://pbs.twimg.com/profile_images/1741991624324853760/W71NjnEF_normal.jpg,https://twitter.com/year_progress/status/1774678093321347166,tweet_id:1774678093321347166
Sylvain Wallez,@bluxte,2024-04-02T13:24:09.000Z,False,"Actually running xz to see if it's compromised is dangerous. `ls -l $(which xz)` will show the symbolic link into brew's Cellar, which contains the version in its path.",1,5,7,"1,229",[],[],[],https://pbs.twimg.com/profile_images/568183848706379776/-WvGr4jS_normal.jpeg,https://twitter.com/bluxte/status/1775152241789260122,tweet_id:1775152241789260122
Carlos Elizondo MS,@carloselizondom,2024-03-25T17:11:33.000Z,False,Ya es hora de dejar de culpar a Calderón de los problemas de hoy y diseñar con expertos cuál es la mejor estrategia para enfrentar al crimen organizado y actuar en consecuencia.,52,465,"1,619",3.2万,[],[],[],https://pbs.twimg.com/profile_images/1365997407/C_Elizondo_normal.jpg,https://twitter.com/carloselizondom/status/1772310363620495384,tweet_id:1772310363620495384
Amb. Arturo Sarukhan,@Arturo_Sarukhan,2024-04-16T18:02:25.000Z,False,Votantes sin memoria engendran políticos sin vergüenza.,18,383,969,2.1万,[],[],[],https://pbs.twimg.com/profile_images/1551622599892996096/Z8oaXSMI_normal.jpg,https://twitter.com/Arturo_Sarukhan/status/1780295696962212005,tweet_id:1780295696962212005
Xóvenes Xingones,@XovenesXingones,2024-04-07T17:03:22.000Z,True,"Es momento de elegir:

RT  
Fav    #DebateX #XóvenesXingones",149,"5,463","1,472",17万,"['#DebateX', '#XóvenesXingones']","['@XochitlGalvez', '@Claudiashein', '@AlvarezMaynez']","['\\U0001f937\\U0001f3fb\\u200d\\u2642\\ufe0f', '\\U0001f91e\\U0001f3fb', '\\U0001f1f2\\U0001f1fd']",https://pbs.twimg.com/profile_images/1738006023837806592/QMRg54RE_normal.jpg,https://twitter.com/XovenesXingones/status/1777019349364093059,tweet_id:1777019349364093059
Pablo Gutiérrez,@PabloMxNL,2024-03-02T09:47:46.000Z,False,"just upgraded my  pro to Plasma 6. I don't always upgrade right after the release so some bugs are ironed first, but the cube was worth the risk",0,1,2,986,[],['@slimbook'],[],https://pbs.twimg.com/profile_images/1702754157524893696/rp8c3vLo_normal.jpg,https://twitter.com/PabloMxNL/status/1763863762568687879,tweet_id:1763863762568687879
Eugenio Perea,@eperea,2024-02-22T20:40:55.000Z,False,"Natalie puede cambiar de número de celular, pero Andrés Manuel no puede cambiar la realidad de que es el presidente más corrupto que ha tenido México",2,1,3,486,[],[],[],https://pbs.twimg.com/profile_images/665042485148672001/Qna-Vbyq_normal.jpg,https://twitter.com/eperea/status/1760766642034758020,tweet_id:1760766642034758020
Jan-Albert Hootsen,@jahootsen,2024-02-22T20:12:39.000Z,False,"Como máximo funcionario público del país, el presidente   y su aparato estatal debería ser el más cuidadoso al tratar datos personales y mostrar comportamiento ejemplario - a sabiendas que México es el país más peligroso para la prensa en las Américas.",0,33,61,"3,310",[],['@lopezobrador_'],[],https://pbs.twimg.com/profile_images/1714488901228736512/pxevRdHa_normal.jpg,https://twitter.com/jahootsen/status/1760759528969089117,tweet_id:1760759528969089117
