Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Muhammad Daffa,@daffainfo,2023-05-29T11:56:59.000Z,False,"AllAboutBugBounty updated!!

Do you know about a vulnerability called CSRF right? But do you know of another vulnerability similar to CSRF, called On-Site Request Forgery (OSRF)?

Repository link:https://github.com/daffainfo/AllAboutBugBounty/blob/master/On%20Site%20Request%20Forgery.md…#bugbountytips #bugbounty #infosec",1,14,66,"7,063","['#bugbountytips', '#bugbounty', '#infosec']",[],[],https://pbs.twimg.com/profile_images/1231455926864904195/_rZ8earu_normal.jpg,https://twitter.com/daffainfo/status/1663152454245175297,tweet_id:1663152454245175297
Muhammad Daffa,@daffainfo,2024-04-08T05:07:57.000Z,False,"Yay, another win",1,0,8,491,[],[],[],https://pbs.twimg.com/profile_images/1231455926864904195/_rZ8earu_normal.jpg,https://twitter.com/daffainfo/status/1777201695291998444,tweet_id:1777201695291998444
blasty,@bl4sty,2024-03-30T13:46:10.000Z,False,https://mastodon.social/@q3k@hackerspace.pl/112184695141684537… q3k from  has figured out the string/symbol obfuscation in the xz backdoor! there's appears to be a lot more going on then reported in the initial report.,3,134,563,13万,[],"['https://mastodon.social/@q3k@hackerspace.pl/112184695141684537…', '@DragonSectorCTF']",[],https://pbs.twimg.com/profile_images/620929388994011137/EybnWGD-_normal.png,https://twitter.com/bl4sty/status/1774070616238309745,tweet_id:1774070616238309745
Florian Roth,@cyb3rops,2024-03-30T10:41:06.000Z,True,"Here is my first set of #YARA rules to detect the backdoored XZ packages

Reporthttps://openwall.com/lists/oss-security/2024/03/29/4…Ruleshttps://github.com/Neo23x0/signature-base/blob/master/yara/bkdr_xz_util_cve_2024_3094.yar…#XZ #XZutil",7,254,767,6.3万,"['#YARA', '#XZ', '#XZutil']",[],[],https://pbs.twimg.com/profile_images/1682874149847412741/zGo36Aqh_normal.jpg,https://twitter.com/cyb3rops/status/1774024044288806987,tweet_id:1774024044288806987
Muhammad Daffa,@daffainfo,2024-03-15T09:22:20.000Z,False,"If you encounter CSP on a website during your pentest, you need to analyze the CSP first.

If you are still confused about how to read CSP, you can use https://csp-evaluator.withgoogle.com or refer to https://book.hacktricks.xyz/pentesting-web/content-security-policy-csp-bypass…Avoid injecting random payloads into the website.#bugbountytips",0,0,7,570,['#bugbountytips'],[],[],https://pbs.twimg.com/profile_images/1231455926864904195/_rZ8earu_normal.jpg,https://twitter.com/daffainfo/status/1768568403609198754,tweet_id:1768568403609198754
Muhammad Daffa,@daffainfo,2023-05-29T11:56:59.000Z,False,"AllAboutBugBounty updated!!

Do you know about a vulnerability called CSRF right? But do you know of another vulnerability similar to CSRF, called On-Site Request Forgery (OSRF)?

Repository link:https://github.com/daffainfo/AllAboutBugBounty/blob/master/On%20Site%20Request%20Forgery.md…#bugbountytips #bugbounty #infosec",1,14,66,"7,063","['#bugbountytips', '#bugbounty', '#infosec']",[],[],https://pbs.twimg.com/profile_images/1231455926864904195/_rZ8earu_normal.jpg,https://twitter.com/daffainfo/status/1663152454245175297,tweet_id:1663152454245175297
Muhammad Daffa,@daffainfo,2024-04-08T05:07:57.000Z,False,"Yay, another win",1,0,8,491,[],[],[],https://pbs.twimg.com/profile_images/1231455926864904195/_rZ8earu_normal.jpg,https://twitter.com/daffainfo/status/1777201695291998444,tweet_id:1777201695291998444
blasty,@bl4sty,2024-03-30T13:46:10.000Z,False,https://mastodon.social/@q3k@hackerspace.pl/112184695141684537… q3k from  has figured out the string/symbol obfuscation in the xz backdoor! there's appears to be a lot more going on then reported in the initial report.,3,134,563,13万,[],"['https://mastodon.social/@q3k@hackerspace.pl/112184695141684537…', '@DragonSectorCTF']",[],https://pbs.twimg.com/profile_images/620929388994011137/EybnWGD-_normal.png,https://twitter.com/bl4sty/status/1774070616238309745,tweet_id:1774070616238309745
Muhammad Daffa,@daffainfo,2024-03-05T15:25:02.000Z,False,what happen to facebook??,1,0,6,797,[],[],[],https://pbs.twimg.com/profile_images/1231455926864904195/_rZ8earu_normal.jpg,https://twitter.com/daffainfo/status/1765035799928795416,tweet_id:1765035799928795416
Muhammad Daffa,@daffainfo,2024-03-04T13:04:06.000Z,True,"ofc, i did bug bounties + ctf. But make sure you join in the right event, because there are several ctfs where the challenges are guessy ",1,0,2,504,[],[],['\\U0001f480'],https://pbs.twimg.com/profile_images/1231455926864904195/_rZ8earu_normal.jpg,https://twitter.com/daffainfo/status/1764637944470814825,tweet_id:1764637944470814825
