Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Apiiro,@ApiiroSecurity,2024-03-26T12:42:09.000Z,True,"As a payments infrastructure provider,  can’t just float along when it comes to application security.  

They turned to Apiiro to streamline collaboration with developers and propel their #AppSec program forward, enabling them to... Maintain visibility of Paddle’s…",0,1,4,151,['#AppSec'],['@PaddleHQ'],"['\\U0001f6a3', '\\U0001f680']",https://pbs.twimg.com/profile_images/1664669717473157121/il52hYkr_normal.png,https://twitter.com/ApiiroSecurity/status/1772604955406344324,tweet_id:1772604955406344324
Apiiro,@ApiiroSecurity,2024-03-12T14:39:47.000Z,True,"We sat down with Adam Jordan (), Distinguished Engineer & Head of Secure, Sustainable Software at Shell, to talk about how Shell… Enables autonomy to deliver secure software Defines strong security controls and automation Measures and articulates #AppSec success…",0,2,2,178,['#AppSec'],['@XYLAMIC'],"['\\U0001f916', '\\U0001f4aa', '\\U0001f4c8']",https://pbs.twimg.com/profile_images/1664669717473157121/il52hYkr_normal.png,https://twitter.com/ApiiroSecurity/status/1767561128521961779,tweet_id:1767561128521961779
Dr. Eli David,@DrEliDavid,2023-10-29T20:36:30.000Z,True," Breaking:  called head of Israel Security Agency (Shin Bet) and assured him that:

1. He fully supports Israel in its war against terrorism
2. No Starlink will be given to Gaza without Israel security approval

Thank you  for standing with Israel ","2,304",1万,5.3万,273万,[],"['@elonmusk', '@elonmusk']","['\\U0001f6a8', '\\U0001f1ee\\U0001f1f1']",https://pbs.twimg.com/profile_images/1469311196616704005/8ebbwzTe_normal.jpg,https://twitter.com/DrEliDavid/status/1718728538113683536,tweet_id:1718728538113683536
Idan Plotnik,@idanplotnik,2023-10-27T12:34:55.000Z,True,Unbelievable. Nazism v2. 2023.,0,2,0,173,[],[],[],https://pbs.twimg.com/profile_images/1315935720650018818/kSN1DEtL_normal.jpg,https://twitter.com/idanplotnik/status/1717882569398571400,tweet_id:1717882569398571400
Idan Plotnik,@idanplotnik,2023-10-27T11:55:41.000Z,False," Checklist for evaluating, implementing & operationalizing an Application Security Posture Management (#ASPM).

Spoiler  Not all ASPMs are created equal. https://apiiro.com/resource/application-security-posture-management-aspm-checklist/…#appsec #devsecops #RiskManagement #supplychain",0,0,1,74,"['#ASPM', '#appsec', '#devsecops', '#RiskManagement', '#supplychain']",[],"['\\u2705', '\\U0001f6d1', '\\u2696\\ufe0f']",https://pbs.twimg.com/profile_images/1315935720650018818/kSN1DEtL_normal.jpg,https://twitter.com/idanplotnik/status/1717872693230420028,tweet_id:1717872693230420028
Apiiro,@ApiiroSecurity,2024-03-26T12:42:09.000Z,True,"As a payments infrastructure provider,  can’t just float along when it comes to application security.  

They turned to Apiiro to streamline collaboration with developers and propel their #AppSec program forward, enabling them to... Maintain visibility of Paddle’s…",0,1,4,151,['#AppSec'],['@PaddleHQ'],"['\\U0001f6a3', '\\U0001f680']",https://pbs.twimg.com/profile_images/1664669717473157121/il52hYkr_normal.png,https://twitter.com/ApiiroSecurity/status/1772604955406344324,tweet_id:1772604955406344324
Apiiro,@ApiiroSecurity,2024-03-12T14:39:47.000Z,True,"We sat down with Adam Jordan (), Distinguished Engineer & Head of Secure, Sustainable Software at Shell, to talk about how Shell… Enables autonomy to deliver secure software Defines strong security controls and automation Measures and articulates #AppSec success…",0,2,2,178,['#AppSec'],['@XYLAMIC'],"['\\U0001f916', '\\U0001f4aa', '\\U0001f4c8']",https://pbs.twimg.com/profile_images/1664669717473157121/il52hYkr_normal.png,https://twitter.com/ApiiroSecurity/status/1767561128521961779,tweet_id:1767561128521961779
Dr. Eli David,@DrEliDavid,2023-10-29T20:36:30.000Z,True," Breaking:  called head of Israel Security Agency (Shin Bet) and assured him that:

1. He fully supports Israel in its war against terrorism
2. No Starlink will be given to Gaza without Israel security approval

Thank you  for standing with Israel ","2,304",1万,5.3万,273万,[],"['@elonmusk', '@elonmusk']","['\\U0001f6a8', '\\U0001f1ee\\U0001f1f1']",https://pbs.twimg.com/profile_images/1469311196616704005/8ebbwzTe_normal.jpg,https://twitter.com/DrEliDavid/status/1718728538113683536,tweet_id:1718728538113683536
Israel Defense Forces,@IDF,2023-10-24T17:49:01.000Z,True,"“Look how many I killed with my own hands! Your son killed Jews!”

Listen to a phone call of a Hamas terrorist calling home, bragging about how many people he massacred.

The whole world needs to hear this.","7,147",1万,1.9万,246万,[],[],[],https://pbs.twimg.com/profile_images/1460244034706935808/lBBT0_jC_normal.jpg,https://twitter.com/IDF/status/1716874448694096095,tweet_id:1716874448694096095
PnL,@PnL63962200,2023-10-25T19:27:24.000Z,False,"Hi  - I was shocked to discover that one of your Cyber Security Trainer and Review Board Members is also an antisemitic, a terror supporter who publicly denies Hamas Terror acts. Please remove  from his role immediately!",155,286,"1,063",35万,[],"['@BlackHatEvents', '@Voulnet']",[],https://pbs.twimg.com/profile_images/1056859514551578624/6STiou8c_normal.jpg,https://twitter.com/PnL63962200/status/1717261598077698222,tweet_id:1717261598077698222
